direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,exit_type
SHORT,2024-01-03 12:50:00,2024-01-03 16:00:00,42771.7,43413.275499999996,-1.5,SL
SHORT,2024-01-03 16:35:00,2024-01-04 14:55:00,42968.6,43613.12899999999,-1.5,SL
LONG,2024-01-04 12:00:00,2024-01-04 19:15:00,43149.8,44228.545,2.5,TP
LONG,2024-01-08 15:00:00,2024-01-08 18:00:00,44691.9,45809.197499999995,2.5,TP
LONG,2024-01-08 19:25:00,2024-01-09 21:10:00,46694.2,47861.55499999999,2.5,TP
LONG,2024-01-09 21:15:00,2024-01-09 21:50:00,46543.8,45845.643000000004,-1.5,SL
LONG,2024-01-09 22:15:00,2024-01-10 12:40:00,45766.5,45080.0025,-1.5,SL
LONG,2024-01-10 13:10:00,2024-01-10 17:40:00,45075.8,46202.695,2.5,TP
LONG,2024-01-10 18:05:00,2024-01-10 21:35:00,46117.2,45425.441999999995,-1.5,SL
LONG,2024-01-10 21:40:00,2024-01-10 22:50:00,45488.1,46625.3025,2.5,TP
LONG,2024-01-10 23:25:00,2024-01-11 05:35:00,46827.3,46124.8905,-1.5,SL
LONG,2024-01-11 07:00:00,2024-01-11 11:20:00,45965.2,47114.329999999994,2.5,TP
SHORT,2024-01-12 19:00:00,2024-01-12 22:20:00,43451.7,42365.407499999994,2.5,TP
SHORT,2024-01-12 22:50:00,2024-01-13 06:20:00,42492.9,43130.2935,-1.5,SL
SHORT,2024-01-13 06:25:00,2024-01-14 23:15:00,43075.0,41998.125,2.5,TP
SHORT,2024-01-14 23:25:00,2024-01-15 05:00:00,42040.9,42671.5135,-1.5,SL
SHORT,2024-01-15 05:25:00,2024-01-15 18:40:00,42677.5,43317.6625,-1.5,SL
SHORT,2024-01-18 20:00:00,2024-01-19 18:50:00,41095.8,41712.237,-1.5,SL
SHORT,2024-01-22 07:00:00,2024-01-22 19:15:00,41165.6,40136.46,2.5,TP
SHORT,2024-01-22 19:55:00,2024-01-23 11:25:00,39812.5,38817.1875,2.5,TP
SHORT,2024-01-24 08:15:00,2024-01-26 10:40:00,39948.7,40547.930499999995,-1.5,SL
LONG,2024-01-29 00:00:00,2024-01-29 16:30:00,41936.3,42984.7075,2.5,TP
LONG,2024-01-29 22:00:00,2024-01-31 10:55:00,43127.5,42480.5875,-1.5,SL
LONG,2024-01-31 12:00:00,2024-01-31 17:55:00,42588.8,43653.52,2.5,TP
LONG,2024-02-01 16:00:00,2024-02-07 17:35:00,42500.1,43562.60249999999,2.5,TP
LONG,2024-02-07 20:00:00,2024-02-08 11:10:00,43721.4,44814.435,2.5,TP
LONG,2024-02-08 12:40:00,2024-02-09 02:25:00,44649.4,45765.634999999995,2.5,TP
LONG,2024-02-09 03:05:00,2024-02-09 12:05:00,46126.3,47279.4575,2.5,TP
LONG,2024-02-21 20:00:00,2024-02-26 15:25:00,51041.4,52317.435,2.5,TP
LONG,2024-02-26 16:30:00,2024-02-26 19:40:00,53162.6,54491.66499999999,2.5,TP
LONG,2024-02-26 19:50:00,2024-02-27 01:55:00,54436.5,55797.4125,2.5,TP
LONG,2024-02-27 02:45:00,2024-02-28 07:35:00,56294.9,57702.2725,2.5,TP
LONG,2024-03-08 14:00:00,2024-03-08 15:25:00,67872.4,69569.20999999999,2.5,TP
LONG,2024-03-08 15:30:00,2024-03-08 16:00:00,68517.6,67489.83600000001,-1.5,SL
LONG,2024-03-08 16:35:00,2024-03-08 19:55:00,67230.0,68910.75,2.5,TP
LONG,2024-03-08 20:05:00,2024-03-08 21:50:00,69237.5,68198.9375,-1.5,SL
LONG,2024-03-08 22:10:00,2024-03-11 07:10:00,68329.3,70037.5325,2.5,TP
LONG,2024-03-11 08:30:00,2024-03-12 17:05:00,71356.4,70286.05399999999,-1.5,SL
LONG,2024-03-12 18:05:00,2024-03-13 06:35:00,70932.1,72705.4025,2.5,TP
SHORT,2024-03-16 00:50:00,2024-03-16 11:25:00,69784.7,68040.08249999999,2.5,TP
SHORT,2024-03-16 21:00:00,2024-03-16 23:10:00,67077.2,65400.27,2.5,TP
SHORT,2024-03-16 23:20:00,2024-03-17 10:15:00,65860.0,66847.9,-1.5,SL
LONG,2024-03-17 16:00:00,2024-03-18 01:00:00,68093.7,67072.29449999999,-1.5,SL
SHORT,2024-03-19 06:00:00,2024-03-19 08:45:00,65288.8,63656.58,2.5,TP
SHORT,2024-03-19 08:55:00,2024-03-19 16:05:00,63534.2,64487.21299999999,-1.5,SL
SHORT,2024-03-19 17:35:00,2024-03-19 22:15:00,65032.9,63407.0775,2.5,TP
SHORT,2024-03-19 22:30:00,2024-03-20 04:30:00,63219.7,61639.2075,2.5,TP
SHORT,2024-03-22 14:00:00,2024-03-23 07:05:00,63450.0,64401.74999999999,-1.5,SL
LONG,2024-03-25 05:00:00,2024-03-25 14:55:00,67657.1,69348.5275,2.5,TP
LONG,2024-03-25 15:10:00,2024-03-26 07:20:00,69318.9,71051.87249999998,2.5,TP
LONG,2024-03-26 07:35:00,2024-03-26 14:20:00,71175.0,70107.375,-1.5,SL
LONG,2024-03-26 14:40:00,2024-03-27 15:55:00,70035.4,68984.86899999999,-1.5,SL
LONG,2024-03-31 20:00:00,2024-04-01 05:45:00,71227.4,70158.98899999999,-1.5,SL
SHORT,2024-04-02 00:00:00,2024-04-02 02:35:00,69659.9,67918.4025,2.5,TP
SHORT,2024-04-02 03:45:00,2024-04-02 13:20:00,66723.3,65055.2175,2.5,TP
SHORT,2024-04-02 13:35:00,2024-04-02 14:25:00,64881.7,65854.9255,-1.5,SL
SHORT,2024-04-02 14:45:00,2024-04-04 13:10:00,65892.8,66881.192,-1.5,SL
LONG,2024-04-05 00:00:00,2024-04-05 05:15:00,68344.6,67319.43100000001,-1.5,SL
LONG,2024-04-06 22:00:00,2024-04-07 16:15:00,68385.8,70095.44499999999,2.5,TP
LONG,2024-04-07 18:20:00,2024-04-08 08:10:00,69595.4,71335.28499999999,2.5,TP
LONG,2024-04-08 08:20:00,2024-04-09 08:05:00,71154.0,70086.69,-1.5,SL
LONG,2024-04-10 20:00:00,2024-04-12 16:40:00,69847.9,68800.18149999999,-1.5,SL
SHORT,2024-04-12 17:00:00,2024-04-12 18:30:00,68850.7,67129.4325,2.5,TP
SHORT,2024-04-12 19:05:00,2024-04-13 04:45:00,66842.6,67845.239,-1.5,SL
SHORT,2024-04-13 05:30:00,2024-04-13 19:50:00,67482.5,65795.4375,2.5,TP
SHORT,2024-04-13 21:30:00,2024-04-13 22:30:00,62143.9,63076.05849999999,-1.5,SL
SHORT,2024-04-13 23:35:00,2024-04-14 03:00:00,64544.7,62931.0825,2.5,TP
SHORT,2024-04-14 03:15:00,2024-04-14 04:10:00,62654.5,63594.3175,-1.5,SL
SHORT,2024-04-14 05:15:00,2024-04-14 22:05:00,64049.9,65010.648499999996,-1.5,SL
LONG,2024-04-22 07:00:00,2024-04-24 14:30:00,66334.7,65339.6795,-1.5,SL
SHORT,2024-04-24 19:05:00,2024-04-27 01:25:00,64207.2,62602.02,2.5,TP
SHORT,2024-04-27 06:00:00,2024-04-28 02:50:00,62940.9,63885.013499999994,-1.5,SL
SHORT,2024-04-28 08:00:00,2024-04-29 03:55:00,63880.8,62283.78,2.5,TP
SHORT,2024-04-29 05:00:00,2024-04-29 22:25:00,62475.0,63412.12499999999,-1.5,SL
SHORT,2024-04-30 11:00:00,2024-04-30 18:45:00,61650.0,60108.75,2.5,TP
SHORT,2024-04-30 20:00:00,2024-04-30 22:25:00,59825.6,60722.98399999999,-1.5,SL
SHORT,2024-04-30 22:45:00,2024-05-01 07:05:00,60539.8,59026.305,2.5,TP
SHORT,2024-05-01 08:50:00,2024-05-01 11:55:00,57006.6,57861.69899999999,-1.5,SL
SHORT,2024-05-01 12:00:00,2024-05-01 18:40:00,57746.1,58612.29149999999,-1.5,SL
SHORT,2024-05-01 19:10:00,2024-05-01 19:55:00,58542.0,57078.45,2.5,TP
SHORT,2024-05-01 20:25:00,2024-05-01 23:35:00,57330.0,58189.95,-1.5,SL
SHORT,2024-05-01 23:50:00,2024-05-02 14:40:00,58228.3,59101.7245,-1.5,SL
SHORT,2024-05-03 05:00:00,2024-05-03 12:40:00,59506.2,60398.79299999999,-1.5,SL
LONG,2024-05-04 00:00:00,2024-05-04 10:55:00,62819.9,64390.3975,2.5,TP
LONG,2024-05-04 11:15:00,2024-05-05 01:30:00,64173.6,63210.996,-1.5,SL
LONG,2024-05-05 01:55:00,2024-05-06 08:15:00,63286.0,64868.149999999994,2.5,TP
SHORT,2024-05-06 16:00:00,2024-05-08 13:05:00,63666.0,62074.35,2.5,TP
SHORT,2024-05-08 14:00:00,2024-05-09 10:55:00,62357.3,60798.3675,2.5,TP
SHORT,2024-05-09 13:20:00,2024-05-09 16:05:00,61376.0,62296.63999999999,-1.5,SL
SHORT,2024-05-09 16:40:00,2024-05-09 22:50:00,62287.9,63222.218499999995,-1.5,SL
SHORT,2024-05-10 12:05:00,2024-05-10 14:45:00,63158.4,61579.44,2.5,TP
SHORT,2024-05-10 15:30:00,2024-05-13 07:50:00,61188.2,62106.022999999994,-1.5,SL
LONG,2024-05-13 15:00:00,2024-05-14 06:10:00,62707.7,61767.0845,-1.5,SL
SHORT,2024-05-14 16:00:00,2024-05-15 09:45:00,61654.0,62578.80999999999,-1.5,SL
LONG,2024-05-15 00:00:00,2024-05-15 12:30:00,61602.0,63142.049999999996,2.5,TP
LONG,2024-05-15 13:05:00,2024-05-15 18:10:00,63564.0,65153.09999999999,2.5,TP
LONG,2024-05-15 19:45:00,2024-05-16 17:20:00,65939.9,64950.801499999994,-1.5,SL
