ts,dir,entry,exit,type,pnl,month
2025-12-18 13:30:00,SHORT,86986.51,88361.07,SL,-1.5556171965776522,2025-12
2025-12-18 17:15:00,SHORT,88465.68,86250.6,TP,2.568190829976813,2025-12
2025-12-19 07:00:00,SHORT,86378.0,87674.46,SL,-1.4787202567315583,2025-12
2025-12-23 06:10:00,SHORT,89858.68,87601.01,TP,2.577219143934517,2025-12
2025-12-26 02:20:00,SHORT,87521.89,88836.01,SL,-1.4792649962554583,2025-12
2025-12-29 12:05:00,SHORT,89492.87,87245.24,TP,2.576220777202276,2025-12
2025-12-30 14:55:00,SHORT,87604.43,88921.23,SL,-1.4808612071605443,2025-12
2026-01-02 16:30:00,SHORT,88952.07,90295.98,SL,-1.4883386835161327,2026-01
2026-01-02 17:15:00,LONG,88720.0,90955.99,TP,2.5202772768259774,2026-01
2026-01-05 00:45:00,LONG,89870.29,92156.74,TP,2.544166709598916,2026-01
2026-01-06 18:00:00,LONG,92845.83,91428.78,SL,-1.5262397891213864,2026-01
2026-01-12 08:35:00,LONG,92158.6,90758.34,SL,-1.5194024214777668,2026-01
2026-01-13 15:35:00,LONG,90754.54,93060.62,TP,2.5410078658323787,2026-01
2026-01-13 22:10:00,LONG,93593.05,96000.0,TP,2.5717187333888614,2026-01
2026-01-14 17:10:00,LONG,95329.81,97721.91,TP,2.5092885425870515,2026-01
2026-01-15 19:30:00,LONG,96674.13,95203.46,SL,-1.52126530644755,2026-01
2026-01-18 23:45:00,LONG,95635.98,94050.0,SL,-1.6583507587834556,2026-01
2026-01-20 14:45:00,SHORT,92767.13,90437.51,TP,2.575944428368282,2026-01
2026-01-21 05:35:00,SHORT,88579.02,89913.97,SL,-1.4846969831273094,2026-01
2026-01-25 18:40:00,SHORT,89167.99,86936.01,TP,2.5673826070462757,2026-01
2026-01-27 20:45:00,SHORT,87960.64,89295.16,SL,-1.4945042934017994,2026-01
2026-01-29 15:10:00,SHORT,87974.39,85761.0,TP,2.5808817527780636,2026-01
2026-01-30 01:35:00,SHORT,84504.71,82348.06,TP,2.618944514297006,2026-01
2026-01-30 04:20:00,SHORT,81984.95,83236.69,SL,-1.5038320240749692,2026-01
2026-01-30 18:55:00,SHORT,82910.0,84160.0,SL,-1.4852661596958194,2026-01
2026-01-31 14:20:00,SHORT,84242.99,82122.01,TP,2.582718080085966,2026-01
2026-02-09 10:30:00,SHORT,70481.24,68710.91,TP,2.5764904001416955,2026-02
2026-02-10 14:15:00,SHORT,68487.42,69518.7,SL,-1.4834569691320465,2026-02
2026-02-11 04:35:00,SHORT,69225.14,67490.08,TP,2.570837077093402,2026-02
2026-02-11 14:10:00,SHORT,67516.13,68537.0,SL,-1.4895166114653358,2026-02
2026-02-11 15:05:00,SHORT,67680.75,65978.71,TP,2.5796806272811335,2026-02
2026-02-11 19:05:00,SHORT,66396.0,67399.99,SL,-1.4895996275370416,2026-02
2026-02-12 16:50:00,SHORT,67538.0,65812.5,TP,2.6218423551756853,2026-02
2026-02-16 13:00:00,SHORT,69001.69,70037.35,SL,-1.4787252801540918,2026-02
2026-02-23 06:50:00,SHORT,64759.75,65745.29,SL,-1.4990275349002102,2026-02
2026-02-23 20:10:00,SHORT,65726.9,64070.61,TP,2.585101031502579,2026-02
