d,ets,ep,xts,xp,xt,pnl
SHORT,2026-01-29 13:55:00,87988.28,2026-01-29 15:12:07,85761.0,TP,2.3713371280811475
SHORT,2026-01-29 17:00:00,85270.01,2026-01-30 01:39:20,83106.57,TP,2.377164004085361
SHORT,2026-01-30 02:38:04,81890.9,2026-01-30 04:19:10,83141.14,SL,-1.6867142014558458
SHORT,2026-01-30 05:50:00,83044.68,2026-01-30 19:04:22,84332.49,SL,-1.7107435274601723
SHORT,2026-01-30 19:42:02,84175.34,2026-01-31 14:23:19,82068.46,TP,2.3429658329862284
SHORT,2026-02-09 07:55:00,70478.56,2026-02-09 10:32:56,68710.91,TP,2.34806770172375
SHORT,2026-02-10 11:55:00,68553.04,2026-02-10 14:18:36,69587.99,SL,-1.6697069364101311
SHORT,2026-02-11 06:00:00,67422.0,2026-02-11 14:10:22,68433.56,SL,-1.6603411349411137
SHORT,2026-02-11 14:35:00,67673.65,2026-02-11 15:08:29,65978.71,TP,2.344578960939727
SHORT,2026-02-11 16:15:00,67146.0,2026-02-11 21:28:46,68173.91,SL,-1.6908581300449816
SHORT,2026-02-15 16:05:00,68979.35,2026-02-16 13:02:27,70016.97,SL,-1.6642472856006838
SHORT,2026-02-23 01:00:00,66724.39,2026-02-23 01:23:00,65000.15,TP,2.4241225375009017
SHORT,2026-02-23 05:00:00,64812.78,2026-02-23 06:54:51,65786.1,SL,-1.6617408603673642
SHORT,2026-02-23 08:05:00,65816.08,2026-02-23 17:52:17,64166.67,TP,2.34608969722901
SHORT,2026-02-23 17:55:00,64497.54,2026-02-24 04:18:28,62874.97,TP,2.3557083510471863
SHORT,2026-02-24 04:20:36,63024.87,2026-02-24 15:32:21,63974.11,SL,-1.6661355937743274
SHORT,2026-02-24 16:35:00,63740.6,2026-02-24 19:06:49,64702.0,SL,-1.6683008318089279
SHORT,2026-02-24 19:11:42,64471.66,2026-02-25 01:11:43,65445.52,SL,-1.6705241589870543
SHORT,2026-02-25 03:20:00,65577.87,2026-02-25 13:49:36,66563.2,SL,-1.6625343153109453
