entry_ts,exit_ts,dir,entry,exit,type,pnl,month
2025-08-23 00:05:00,2025-08-23 13:19:26,LONG,116881.67,115123.18,SL,-1.5045045129830958,2025-08
2025-08-25 00:05:00,2025-08-25 13:46:06,SHORT,113485.2,110645.99,TP,2.5660306351816153,2025-08
2025-08-25 13:50:00,2025-08-25 16:22:25,SHORT,111208.01,112885.65,SL,-1.4861410639882,2025-08
2025-08-25 16:55:00,2025-08-25 20:34:00,SHORT,112564.11,109749.14,TP,2.5649130371317774,2025-08
2025-08-25 20:36:04,2025-08-26 22:00:02,SHORT,109947.99,111667.29,SL,-1.5396630472540251,2025-08
2025-08-26 23:20:26,2025-08-29 13:45:55,SHORT,112060.77,109243.0,TP,2.5793597759124154,2025-08
2025-08-29 13:50:00,2025-09-02 13:46:19,SHORT,109334.94,110979.99,SL,-1.4822942406104045,2025-08
2025-09-05 17:05:00,2025-09-08 13:06:09,SHORT,110608.48,112271.58,SL,-1.4813187807635741,2025-09
2025-09-09 00:00:18,2025-09-11 22:21:00,LONG,112076.74,114884.99,TP,2.5056492542520514,2025-09
2025-09-11 22:25:00,2025-09-22 06:01:48,LONG,115025.9,113233.25,SL,-1.558475091262046,2025-09
2025-09-23 00:00:00,2025-09-25 17:31:31,SHORT,112650.98,109819.85,TP,2.5779765679883937,2025-09
2025-10-11 00:05:00,2025-10-11 20:56:10,SHORT,112767.73,109944.59,TP,2.567784372109627,2025-10
2025-10-21 08:05:00,2025-10-21 14:11:15,SHORT,107953.85,109621.19,SL,-1.5210015508862806,2025-10
2025-10-22 00:30:00,2025-10-23 06:15:37,SHORT,108011.26,109678.88,SL,-1.5204568099163707,2025-10
2025-10-27 00:05:00,2025-10-28 20:07:00,LONG,114754.73,113031.77,SL,-1.5014283071381862,2025-10
2025-10-30 00:00:00,2025-10-30 17:20:28,SHORT,110021.3,107268.0,TP,2.5667487041801884,2025-10
2025-10-30 17:25:00,2025-10-31 00:13:39,SHORT,106948.78,108577.15,SL,-1.4997354415731023,2025-10
