d,ets,ep,xts,xp,xt,pnl
LONG,2026-03-23 23:55:00,70848.6,2026-03-24 14:41:00,69780.8,SL,-1.667157516168284
SHORT,2026-03-27 00:00:00,68737.1,2026-03-27 10:38:00,66989.0,TP,2.3831680999052995
SHORT,2026-03-27 10:42:00,66995.4,2026-03-29 22:45:00,65217.1,TP,2.4943613442116854
SHORT,2026-04-02 13:05:00,66037.3,2026-04-02 16:37:00,67080.3,SL,-1.7394104241087989
SHORT,2026-04-05 09:06:00,66886.0,2026-04-05 22:44:00,67937.4,SL,-1.7319283557097063
LONG,2026-04-06 00:00:00,69102.9,2026-04-07 11:01:00,68055.6,SL,-1.6755659169151922
LONG,2026-04-08 02:05:00,71465.0,2026-04-10 20:30:00,73364.1,TP,2.4973847337857773
LONG,2026-04-13 19:57:00,73321.2,2026-04-14 13:42:00,75197.5,TP,2.399014309640326
LONG,2026-04-14 13:42:00,75197.5,2026-04-14 18:46:00,74061.8,SL,-1.6702895707968977
LONG,2026-04-14 19:28:00,74084.0,2026-04-17 09:28:00,76275.5,TP,2.798128610766157
LONG,2026-04-17 16:15:00,77790.4,2026-04-18 08:34:00,76560.0,SL,-1.7416861720726389
LONG,2026-04-18 18:58:00,75612.6,2026-04-19 20:48:00,74454.3,SL,-1.6918875425524353
LONG,2026-04-20 20:25:00,76396.0,2026-04-21 17:17:00,75213.6,SL,-1.707725011780714
LONG,2026-04-21 17:40:00,75696.4,2026-04-22 03:06:00,77692.3,TP,2.4767172018748695
LONG,2026-04-22 07:20:00,77855.6,2026-04-27 15:23:00,76645.5,SL,-1.714287681297178
LONG,2026-04-29 12:05:00,77450.6,2026-04-29 15:09:00,76288.7,SL,-1.660182051527049
LONG,2026-05-01 10:20:00,77279.9,2026-05-03 22:14:00,79230.8,TP,2.3644597883796545
LONG,2026-05-03 22:15:00,79369.9,2026-05-05 13:01:00,81422.4,TP,2.425992926789627
LONG,2026-05-05 13:05:00,81453.4,2026-05-07 14:33:00,80158.2,SL,-1.7501116466593134
LONG,2026-05-10 12:25:00,80858.0,2026-05-13 13:46:00,79626.5,SL,-1.6830403917979668
LONG,2026-05-14 15:55:00,81240.0,2026-05-15 13:27:00,80005.4,SL,-1.6796947316592883
SHORT,2026-05-16 00:00:00,79046.5,2026-05-17 23:41:00,76750.8,TP,2.7442399094204006
SHORT,2026-05-18 01:25:00,76926.3,2026-05-21 01:14:00,78093.8,SL,-1.6776864089394652
