ts,dir,entry,exit,type,pnl,ci,month
2025-12-29 12:05:22,SHORT,89498.58,87310.11,TP,2.5065482107398562,58321,2025-12
2025-12-31 12:00:00,SHORT,87020.74,89008.2,SL,-2.2328953961544995,58896,2025-12
2026-01-02 16:35:00,SHORT,88952.07,90766.39,SL,-1.9988896771150566,59527,2026-01
2026-01-04 00:05:08,LONG,88720.0,90944.4,TP,2.507213706041478,59905,2026-01
2026-01-05 14:55:40,LONG,91272.19,93620.0,TP,2.5723169346544728,60371,2026-01
2026-01-12 06:23:04,LONG,93443.22,92036.85,SL,-1.5050530150823138,62284,2026-01
2026-01-13 16:00:00,LONG,90754.54,93449.99,TP,2.9700442534335014,62688,2026-01
2026-01-13 22:10:40,LONG,93593.05,96000.0,TP,2.5717187333888614,62762,2026-01
2026-01-14 20:11:04,LONG,95364.01,97749.98,TP,2.501960645321022,63026,2026-01
2026-01-15 03:30:00,LONG,97618.89,95908.79,SL,-1.7518125846339827,63114,2026-01
2026-01-20 01:10:00,LONG,95999.16,92621.9,SL,-3.518009949253731,64526,2026-01
2026-01-20 14:48:18,SHORT,92723.95,90437.51,TP,2.5281987529289562,64689,2026-01
2026-01-20 22:35:10,SHORT,90445.73,88226.42,TP,2.515470989302293,64783,2026-01
2026-01-29 15:05:46,SHORT,88566.57,86400.01,TP,2.507592302362016,67285,2026-01
2026-01-30 01:41:52,SHORT,84261.63,82148.77,TP,2.571992252592459,67412,2026-01
2026-01-30 04:20:00,SHORT,81879.99,83184.37,SL,-1.5680589995452188,67444,2026-01
2026-01-30 19:52:52,SHORT,83256.89,84549.73,SL,-1.5290882655686788,67630,2026-01
2026-02-09 08:00:00,SHORT,83969.09,70422.59,TP,19.236015034380305,70368,2026-02
2026-02-10 13:05:00,SHORT,70481.24,68489.05,TP,2.908771548152589,70717,2026-02
2026-02-10 17:35:00,SHORT,68593.17,69812.24,SL,-1.7462124120354972,70771,2026-02
2026-02-11 04:23:24,SHORT,69615.16,67873.52,TP,2.5660080691262133,70900,2026-02
2026-02-11 15:10:00,SHORT,67831.96,65926.31,TP,2.890575856588984,71030,2026-02
2026-02-11 18:50:00,SHORT,66009.73,67254.9,SL,-1.851419004414545,71074,2026-02
2026-02-15 16:05:00,SHORT,67318.01,68979.35,SL,-2.4084599231509296,72193,2026-02
2026-02-23 01:00:00,SHORT,68856.99,66724.39,TP,3.196132628563575,74316,2026-02
2026-02-23 06:54:54,SHORT,64812.78,65802.08,SL,-1.503447915324263,74386,2026-02
2026-02-23 19:39:34,SHORT,65816.08,64208.76,TP,2.5032721391909707,74539,2026-02
2026-02-25 01:11:30,SHORT,64165.14,65184.0,SL,-1.5630522827687732,74894,2026-02
2026-02-28 06:36:24,SHORT,65577.87,63978.25,TP,2.5002559463567664,75823,2026-02
2026-02-28 13:59:18,SHORT,64208.75,65195.06,SL,-1.5128600234434852,75911,2026-02
2026-02-28 18:00:00,SHORT,64432.82,65437.06,SL,-1.5346655243985596,75960,2026-02
2026-03-01 08:00:00,SHORT,65697.88,67148.57,SL,-2.160418308237988,76128,2026-03
2026-03-02 22:15:00,SHORT,66974.49,69234.97,SL,-3.2649396684941046,76587,2026-03
2026-03-04 11:40:00,LONG,69212.83,70999.98,TP,2.582107970444203,77036,2026-03
2026-03-04 15:30:00,LONG,71175.59,73000.0,TP,2.563252373461178,77082,2026-03
2026-03-05 15:18:06,LONG,72693.0,71594.5,SL,-1.5111496292627868,77367,2026-03
2026-03-07 00:00:00,LONG,71026.0,68114.01,SL,-4.099892996930709,77760,2026-03
2026-03-08 22:03:10,SHORT,68129.76,66428.59,TP,2.5609003593181745,78312,2026-03
2026-03-09 13:10:00,SHORT,66013.73,68282.38,SL,-3.322453025216765,78494,2026-03
2026-03-10 02:36:06,LONG,68461.01,70176.69,TP,2.506068782800619,78655,2026-03
2026-03-13 11:00:00,LONG,70048.31,72458.12,TP,3.440211476907873,79620,2026-03
2026-03-13 17:45:00,LONG,72298.44,71199.0,SL,-1.5206967121282333,79701,2026-03
2026-03-16 03:33:10,LONG,71594.54,73393.83,TP,2.513166506831399,80394,2026-03
2026-03-19 00:05:00,LONG,73650.01,71265.78,SL,-3.237243280754476,81217,2026-03
2026-03-19 07:23:36,SHORT,71294.28,69555.01,TP,2.5005675364003332,81304,2026-03
2026-03-22 11:52:18,SHORT,69848.1,68110.55,TP,2.551073218466149,82222,2026-03
2026-03-23 11:05:32,SHORT,68297.36,69377.44,SL,-1.5568173169837385,82501,2026-03
2026-03-23 11:10:00,LONG,68351.7,71233.39,TP,4.215974145485779,82502,2026-03
2026-03-26 13:35:34,LONG,70283.52,69218.12,SL,-1.515860332550234,83395,2026-03
2026-03-27 08:40:04,SHORT,69333.77,67642.16,TP,2.5008219725685787,83624,2026-03
2026-03-27 14:00:00,SHORT,67818.23,66162.89,TP,2.501916104329771,83688,2026-03
2026-04-05 18:05:46,SHORT,66325.75,67336.34,SL,-1.5008092212911994,86329,2026-04
2026-04-05 23:20:24,LONG,67258.15,68949.98,TP,2.5154274983775204,86392,2026-04
2026-04-07 23:00:00,LONG,68922.71,71527.47,TP,3.779247798004448,86964,2026-04
2026-04-13 19:51:38,LONG,71544.99,73380.87,TP,2.566049698238815,88654,2026-04
2026-04-14 13:42:14,LONG,73350.4,75210.85,TP,2.5363869863013866,88868,2026-04
2026-04-14 18:50:00,LONG,75187.4,73857.56,SL,-1.768700606750595,88930,2026-04
2026-04-17 14:05:00,LONG,74231.42,77302.82,TP,4.137601032015836,89737,2026-04
2026-04-18 10:08:36,LONG,77454.28,76289.55,SL,-1.5037645434183844,89977,2026-04
2026-04-22 08:21:42,LONG,76291.59,78202.49,TP,2.504732172969537,91108,2026-04
2026-05-04 02:00:24,LONG,78030.95,80071.38,TP,2.6148983191925934,94488,2026-05
2026-05-04 10:06:42,LONG,80167.99,78941.73,SL,-1.5296130038934597,94585,2026-05
2026-05-05 03:40:48,LONG,78967.68,80962.6,TP,2.526248713397705,94796,2026-05
2026-05-14 12:05:00,LONG,80912.01,79370.89,SL,-1.9046863376648182,97489,2026-05
2026-05-14 16:00:04,LONG,79349.94,81335.0,TP,2.501652805282517,97536,2026-05
2026-05-15 16:30:00,LONG,81337.47,79316.71,SL,-2.4844146246496224,97830,2026-05
2026-05-18 00:05:10,SHORT,79196.76,77264.39,TP,2.5009839591045635,98497,2026-05
2026-05-22 12:32:40,SHORT,77012.4,77413.35,EOD,-0.517933922249858,99798,2026-05
